questions,answers
asking about the recommended fertilizer dose for coconut at the age of one year,"suggested that the recommended fertilizer dose is like-urea@ 300 gram/plant,ssp@ 500 gram/plant,mop@ 350 gram/plant,fym@ 5 kilogram/plant."
asking for the control measure against fruit rot in okra crop cultivation,dithane-z-78 solution @ 2 milli litres per litre of water has been suggested to spray.
asking about the recommended fertilizer dose for coconut at the age of six years,"suggested that the recommended fertilizer dose is like-urea@ 1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@ 1.75 kilogram/plant,fym @ 15 kilogram/plant.fertilizer should be applied in two equal halves twice in a year in ring method."
asking for the fertilizers dosages in terms of per tree and the procedure of application in the 5th year stage of coconut trees,"1.5, 2.5 and 1.75 kg of urea, single super phosphate and muriate of potash respectively has been suggested along with 25 grams of borax and 250 grams of coconut special powder in terms of per tree of coconut trees in the 6th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 1-1.75 metre away from the trunk and to a trench of 30 cm width and 10 cm depth. after application should be covered with green leaves and then by soil."
asking for the fertilizers dosages in terms of per tree and the procedure of application in the 7th year stage of guava trees,"572, 2000 and 445 grams of urea, single super phosphate and muriate of potash respectively has been suggested in terms of per tree of guava in the 10th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 50 centi metres away from the trunk and to a trench of 20 cm width and 10 cm depths. after application should be covered with green leaves and then by soil."
asking about the source of good breed  goat for goat farming,"suggested to contact with byrnihut goat research station,byrnihut for good breed goat."
asking for the control measure against pulp weevil in mango,"suggested to spray malathion 35 ec @ 1 milli litre per litre of water and to adopt cultural practices like clean cultivation, light hoeing and smearing of lime on the base of the trunk."
asking about the age of castration period of a dog,suggested to the age of castration period of a dog is 2-3 month.
asking for any plant protection measure against furit borers in brinjal,advised to apply furadon 3g @ 2.5 grams per plant and at the stage of 20 days after transplanting in the main field. also advised to grow garlic in between or as a boarder crop for lesser pest attack in brinjal crop cultivation.
asking about the control measure to control anthracnose disease in capsicum,suggested to apply mancozeb @ 2 gram / litre of water.
asking for the control measure against yellow mites in jute crop cultivation field,'endosulfan 35 ec' solution @ 2 milli litres per litre of water has been suggested to spray preferably in the upper portion of tyhe plant as the control measure against yellow mites in jute crop cultivation field.
asking about the control measure to control root rot disease in chilli,suggested to apply captaf @ 2gram / litre of water near the root zone.
asking about the control measure of fruit borer of cowpea,suggested mr das to spray malathion 50ec@2ml/litre of water for controlling fruit borer of cowpea.
asking for the fertilizers dosages in terms of per tree and the procedure of application in the 13th year stage of coconut trees,"1.5, 2.5 and 1.75 kg of urea, single super phosphate and muriate of potash respectively has been suggested along with 25 grams of borax and 250 grams of coconut special powder in terms of per tree of coconut trees in the 13th year stage which all to be applied in two equal split doses. once in april & the other dose in october at a radius of 1-1.75 metre away from the trunk and to a trench of 30 cm width and 10 cm depth. after application should be covered with green leaves and then by soil."
asking for the control measure against fruit and shoot borers in brinjal if any,'malathion 50 ec' solution @ 1.5 milli litres per litre of water or 'profex' solution @ 2 milli litres per litre of water has been suggested to spray as the control measures against fruit and shoot borers in brinjal.
asking about the palnting time of early cauliflower variety,suggested that the planting time for early cauliflower is-from mid july to mid august.
asking about the control measure of yellow stem borer pest attack in sali rice,suggested to spray chlorpyriphos 20 ec @ 2 mililitre / litre of water.
asking about treatment of diarrhoea in goat,suggested to administer neblon powder @ 25 gm twice daily for five days.
asking about the recommended fertilizer dose for semi dwarf sali rice variety,"suggested that the recommended ferty\ilizer dose is like- urea @ 12 kilogram / bigha,ssp @ 18 kilogram / bigha,mop @ 4 kilogram / bigha,compost @ 2-3 quintal / bigha."
asking for the manures and fertilizer dosages in terms of per bigha of land to cultivate bottle gourd,"16, 46, 24 and 300 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively has been suggested in terms of per bigha of land to cultivate bottle gourd."
asking about treatment of cough in cow,suggested to administer caflon powder @ 50 gm thrice daily along with gur for five days.
asked how to treat a polluted pond,suggested him to apply liming at appropiate dosage.
asking about the early variety name of cauliflower,"suggested about the early variety like-early kuwari,pusa katki,pusa deepali."
asking about the control measure to control yellow stem borer pest attack in paddy field,suggested to spray tricel 20 ec @ 2 mililitre / litre of water.
asking for the fertilizer doses in terms of per tree of coconut to be applied in the 3rd year stage,"900, 1500 and 1050 garms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 metres away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application.urea,ssp and mop doses to be applied in two equal split doses (march-april)&(september-october)along with full doses of others suggested."
asking for the control measure against rice stem borer in paddy,'ekalux 25 ec' solution @ 3 miili litres per litre of water has been suggested to spray.
asking about the control measure to control shoot borer pest attack in brinjal,suggested to spray malathion 50 ec @ 2 mililitre / litre of water.
asking about treatment of retaintion of placenta in cow,suggested to administer exaper liq. @ 100 ml twice on the first day and repeat the same dose once daily for next three consecutive days.
asking about the control measure of root rot disease in brinjal,suggested to spray captan @ 2 gram / litre of water near the root zone.
asking for the phone numbers of iffco guwahati address,"0361-2546830 (o), 0361-2547680 (o) & 0361-2604378 have been provided to mr. singh as the phone numbers of iffco, guwahati address."
asking about the treatment of diarrhoea of a cow,suggested to administer pabadine bolus @1 bolus /200kg bwt.daily sos .
asking for the control measure against sheath blight in sali paddy crop cultivation field,two sprays of 'carbendazim' solution @ 1 gram per 1 litre of water has been suggested to spray on the crop in the direction of the wind. the first at appearance of symptons and the other spray at 10 days after the first spray.
asking about the treatment of diarrhoea of a buffalo,suggested to adnimister pabadine bolus@ 1 bolus /200kgbwt. daily for three days.
asking that how to avail a loan to open a poultry farm,suggested to approach the br. manager to his nearest nationalised bank.
asking for the control meausre against shoot borers in chilli crop cultivation field,'malathion 50 ec' solution @ 2milli litres per 1 litre of water has been suggested to spray on the crop.
asking about the treatment of fever of a cow,suggested to administer the melonex plus bplus @1 bolus /200kg bwt. daily for three days .
asking about control measures of fruit dropping in orange,"suggested to apply proper dose of fertilizers and micronutrients like zinc sulphate,borax and ammonium molybdate yearly."
asking about treatment of crack in udder in cow,suggested to apply dermanol cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking about treatment of mastitis in cow,suggested to apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking for the phone numbers of kvk silchar,03842-278193 & 94353-03797 have been provided.
asking for the control measure against downy mildew in cucumber,'dithane-z-78' solution @ 3 milli litres per 1 litre of water has been suggested to spray on the standing crop.
asking for the control measure against leaf eating caterpillars in dolichos bean,'malathion 50 ec ' solution @ 2 milli litres per litre of water has been suggetsed to spray as the control measure against leaf eating caterpillars in dolichos bean.
asking for the control measure against fruit and shoot borers in brinjal,'profex' solution @ 1.5 milli litres per litre of water has been suggested to spray as the control measure against fruit and shoot borers in brinjal.
asking about the recommended fertilizer dose for pumpkin,"suggested that the recommnded fertilizer dose is like-urea@ 22 kilogram / bigha,ssp@66 kilogram /bigha,compost @ 3 quintal / bigha."
asking for the control measure against fruit flies in cow pea,'profex' solution @ 1.5 milli litres per litre of water has been suggested to spray as the control measure against fruit flies in cow pea.
asking about the treatment of white diarrhoea in poultry,suggested to administer tetracycline pow @5gm /5lit. of water for three days.
asking about the control measure of yellow stem borer pest attack in paddy field,suggested to spray monovip @ 2 2 mililitre / litre of water.
asking about the treatment of maggoted wound of a cow,suggested to inj.neomec @1ml/25 kg body wt intra-mascularly.
asking for the control measure against fruit sucking moth in orange,'malathion 50 ec' solution mixture @ 1 milli litre per 1 litre of water with 1 kilo gram of molasses has been suggested to spray.
asking for the control measure against blast in paddy crop,'bavistin' solution @ 1 gram per litre of water has been sugested to spray on the crop.
asking about the control measure of leaf curl disease in chilli,suggested to spray rogor 35 ec @ 2 mililitre / litre of water.
asking about the source of information of pure goat breed ,"suggested to contact the farm manager ,goat research farm ,burnihat."
asking about some variety name of mustard,"suggested to grow variety like-tm-2,tm-4,varuna etc."
asking for the manures and fertilizers dose in terms of per bigha of land for radish crop cultivation,"14, 41, 22 and 300 kilo grams of urea, single super phosphate, muriate of potash and farm yard manures respectively have been suggested as the manures and fertilizers dose of in terms of per bigha of land for radish crop cultivation. also suggested that half of urea and full doses of others suggested to be applied as basal and the remaining half of urea to be top dressed at 30 days after planting i.e. during first earthing up."
asking for the control measure against pseudostem borers in banana,suggested to spray malathion 35 ec solution and to apply carbofurn 3 g granules in the soil in the trench method of application @ 40 gram per stool.
asking about variety name of potato,"suggested about the variety like-kufri jyoti,kufri chandramukhi,kufri megha etc."
asking how to increase the oxygen level in the pond,suggested him to use eco - marine @ 40 capsule/ha and go for liming.
asking about treatment of worms infestation in cow,suggested to administer panacur 1.5 gm bolus @ 1 bolus /300 kg body weight.along with that administer liv-52 vet @ 25 ml twice daily.
asking for the fertilizers doses to be applied in the 6th year stage of coconut trees along with the procedure of application,"1500, 2500 and 1750 garms of urea,ssp and mop respectively, 25, 250 grams of borax and coconut special powder respectively(micro nutrient) along with 3 kg of fym has been suggested to apply in the trench method of application at a distance of 1-1.75 metres away from the trunk of the tree.suggested to cover by green leaves and then by top soil after application.urea,ssp and mop doses to be applied in two equal split doses (march-april)&(september-october)along with full doses of others suggested."
asking for the fertilizer doses and for the procedure of application to be applied in terms of tree of coconut in the 8th year stage of age,"1500, 3000, 1750 grams of urea, ssp and mop respectively has been suggested to apply in two equal split doses,once in march-april and the other dose in september-october along with 25 grams of borax and 250 grams of coconut special powder (multiplex. procedure of application suggested is that to apply to a trench of 30 cm in width and 10 cm in depth and at a radius of 1-1.75 metre away from the trunk depending on the age of the plant and then to be covered by green leaves and then by soil."
asking about the treatment of mastitis of a cow,suggested to apply the mastilep cream over udder twice a day.
asking for the control measure against late blight disease in tomato,'indofil m-45' solution @ 2.5 gram per 1 litre of water and 'ridomil mz -72 solution @ 2 gram per 1 litre of water has been suggested to spray on the crop alternatively at an interval of 7 days.
asking for any crop booster chemical name to be sprayed in his pea crop cultivation for a better yield,'green harvest' solution @ 1 gram per 2 litres of water has been suggested to spray during flowering and again @ 2 gram per 2 litres of water of the same has been suggested to spray during fruit set.
asking about the source of information of pure goat breed,"suggested to  contact the farm manager, goat research farm ,burnihat."
asking for the control measure against leaf eating caterpillars in bottle gourd,'malathion 50 ec' solution @ 2 milli litres per 1 litre of water has been suggested to spray on the standing vines.
asking for control of catterpiller in brinjal,recommended to srpay furadon @ 5gm/lit water.
asking about the source of information of pure pig breed,"suggested to contact the farm manager, pig research station ,rani."
asking for the control measure against bacterial wilt in tomato,'streptomycin' or 'plantomycin' or 'agrimycin' solution @ 1 gram per 10 litres of water has been suggetsed to spray on the crop and to drench the soil by spraying at and around the base of the plant with a mixture solution of 1 gram of asafoetida + 5 grams of turmeric powder in 10 litres of water.
asking for any crop booster chemical name to be sprayed in his ridge gourd crop cultivation for a better yield,'green harvest' solution @ 1 gram per 2 litres of water has been suggested to spray during flowering and again @ 2 gram per 2 litres of water of the same has been suggested to spray during fruit set
asking about the control measure of late blight disease in potato,suggested to apply mancozeb @ 2.5 gram / litre of water at 10-12 days interval.
asking about the control measure to control  fruit borer pest in brinjal,suggested to spray  malathion 50ec@2 mililiter/liter of water followed by waiting period for 6-7 days
asking for the control measure against rhinoceros beetle causing damages in his coconut trees,suggested to apply 5% malathion dust mixed with equal quantity of sand at the axil of the leaves of the crown as the control measure against rhinoceros beetle causing damages in his coconut trees.
asked the control measure of powdery mildew in snack gourd,suggested to spray kerathane @ 5gram/lit of water or bevistine @1gram/lit of water against powdery mildew.
asking about the control  measure to control bacterial wilt disease in tomato,suggested to spray streptocyclin (streptomycin sulphate)@200 miligram/liter of water at 15 days interval.
asking about control measure of red ants in mango,suggested to spray 5% malathion dust with sulphur in 2:1 ratio
asking about the planting time of papaya,suggeste that the planting time is-february-march.
asking about control measure of ants in coconut,suggested to apply malathion 5% dust/powder
asking about control measure of mosaic,suggeste to uproot the infected plants nd burn them down away from the field
asking about the control measures against powdery mildew in cucumber,suggested to spray bevestine @ 1 gram/lit of water against powdery mildew in cucumber.
asking about the control measure of fruit borer pest attack in litchi plant,suggested to spray bio-pesticide like-neem gold @ 5 mililitre/ litre of water
asking about the source of information of pure goat breed varities,"suggested to contact the farm manager, goat research farm, burnihat."
ask remedy anthracnose of bhol,give him the procedure for making bordoux mixture.and procedure of application.
pest in bhindi,use pectus 3 ml. per 10 l. of water
asking about fertiliser dose of coconut  arecanut,suggesting reccomended fertilizer of coconut & arecanut.
asking about control measure of downy mildew disease in cucumber,suggested to apply mancozeb @ 2gram / litre of water
pest problem in chilly,suggested to spray malathion 50 ec@ 2ml/litre of water.
aksed about the optimum sizedepth and shape of fish pond,"given as nursery pond: 100- 500 m2, 1.0- 1.5m, rearing pond: 500- 1000 m2, 1.5- 2.0m, stocking pond: 1000- 2000 m2, 1.5- 2.5m."
asking fert dose for litchi plantation,"suggested urea 100 gm, ssp 250 gm, mop 75 gm."
disaease in bhindi,application of ovate @ 2.5 ml per of water
asking that how to avail kisan credit card facilty from bank,"suggested to contact with vlew,agricultural development officer  and to copntact with the nearest nationalised bank."
transplanting of rice,suggested him proper method of translpanting
control measure of leaf miner pest attack in cucumber,suggested to spary malathion 50 ec @ 2 ml/ litre of water.
asking about litchi plantation mehtod,suggested to plant the saplings only with compost.
asking about planting time of litchi plant,suggested to plant litchi sapling during june-july.
asking about fruitfly problem in cucumber cultivation,suggested to spray malathion 50ec @2ml/litre of water with 1gm of molases.
asking about fertilizer dosages of coconut plant,"gien the fertilizer dosage of coconut plant as urea-750gm,ssp-1250gm,mop-900gm,borax-25gm & compost-15kg as ring method 1.5m from the base of the plant."
control measure of manago fruit borer pest attack in mango,advised to apply furadon 3g @ 20 gram / plant in ring method.
fetriler dose in licthi,"application of decompose 2 5-15 kg per year 2 times, urea 125 gram 2 times per year, ssp 200 gram 2 times per year, mop 50 gram  2 times per year"
asking about fertilizer management for 4 nos of brinjal seedlings,suggested to aplly only compost as the no. of seedlings are less.
pest in bitter gourd,suggested to spray pactus @ 2 gm/ 10 litre of water.
asking about agricultural problem,trasfer to agriculture expert.
asking about the control measure of leaf miner pest attack in litchi,suggested to spray rogor 35 ec @ 2 ml ? litre of water.
pest problem in bean,suggested to spray pactus @ 2 gm/ 10 litre of water
asking about the market information of banraja giriraja gramlakhmi varities,"suggested to contact the sird, kvk."
asking about the  poultry farm,adviced him seven days old chicks for boiler and seven days old chicks for layer.
disease of chilli,applicaton of trizophos @ 2ml per liter of water
asking for growth promoter,suggested him to spray miracle @ 2 gm/ litre of water
control measure of fruit rot in bottle gourd,suggested to apply mancozeb @ 2.5 gram / litre of water.
control measure of case worm pest attack in paddy field,suggested to spray quinalphos 25 ec @ 2ml/ litre of water.
asking about recommended fertilizer dose for paddy,"suggested that the fertilizer dose is like-urea@12 kilogram / bigha,ssp @ 18 kilogram / bigha,mop @ 4 kilogram / bigha,compost @ 2-3 quintle."
asking about pulp weevil problem in mango plant,suggested to spray malathion 50ec @ 1ml/litre of water + 1gm of molases/litre of water.
asking for fert application,suggested him properly
bacterial disease in cucumber,appliaction of streptomycin @ 1.5 ml per litre of water
asking about the agri related problem,trasfer to agri. expert.
control measure of leaf curl disease in chilli,suggested to spray rogor 35 ec @ 2 ml /litre of water.
yelllowing of leave,appliction of phorate
asking about the control measure of downy mildew disease in cucmber,advised to apply mancozeb @ 2 gram / litre of water.
asking for training about magur and singhi culture practice,suggested him to contact dist. fisheries deptt. or krishi vigyan kendra at silchar for the training purpose
asking for remedy for less production of coconut,sugested him properly
control measure of anthracnose disease in chilli,suggested to apply blitox-50 @ 2 gram / litre of water.
asking about the age of castration period of a goat,suggested that the age of castration period of a goat is 2-3 month of age.
asking about cultivation practice of litchi,given him from variety selection upto fertilize application
asking how to avail kisan credit card,suggested him to consult with the nearest nationalised bank
asking about where to get the prwn seed,adviced him to contact with dist. fisheries office and also krishi vigyan kendra nearby
asking about availability of singhi seed,suggested him to contact with few local hatcheries or otherwise dist. fisheries office
insects problem in lithci,application of malatjion 50 ec @ 2 ml per litre of water
call for agri,forwarded.
asking about the availability of safed musli planting materials,"suggested to contact with the nedfi,guwahati."
asking about the controll of rice stem borer,suggested to apply novacron 40ec @ 2ml/liter of water.
asking about coconut problem,borax application suggested
asking about the source of good breed layer chicken for farming,"suggested to contact with poultry deppt. college of veterinary science,khanapara,guwahati-22"
asking about the weedicide,application of glycel @1 litres per 200 litres of hwatewr
asking about mite attack in litchi plantation,suggested to spray rogor @ 2ml/litre of water.
control measure of powdery mildew disease in cucumber,suggested to apply sulfex @ 2 gram / litre of water.
asking about the source of information of pure poultry breed of banraja,"suggested to contact the farm manager, sird, nagaon."
asking about to controll of caterpiller and beetle in bottle gourd,suggested him to apply malathion 50ec @ one tea spoon/liter of water.
asking about to controll of blast in rice,suggested him to apply bavistin @ 1gm/liter of water.
fertilizer dose of coconut,"application of 8 kg compost, 800 gram urea, 1250 grams, 900 gram smop,and 50 grams borax per plant twice in a year, one in september and one in march"
asking for gandhi bug controll in rice,suggested him to spray sakti-10 @ 2 ml/litre of water
asking about fertilizer dose of citrus,"application of 5kg copost, 330 gram urea, 600 grams ssp, 250 grams mop @ 2 times in a year , once in sept and once in march"
asking about the fertilizer deficienceis  in litci,"application of compost 250 kg, urea 180 grams, 400 grams, 150 grams and borax 50 grams"
asking about control measure of bacterial wilt,suggested to spray green harvest all crops @ 1.5gm/lit
asking about to controll of aphids in rice,suggested him to spray durseban @ 2ml/liter of water.
asking about high loan interest collected,adviced him to contact with concerned branch
asking cachar kvk ph no,give him the ph. no 03842-278193
control measure of shoot borer pest attack in brinjal,suggested to spray quinalphos 25 % ec @ 2 ml / litre of water.
nasal discharge and 23 died daily,advised to segregate the sick ones and give tetracycline powder to the flocks @ 1 tsf in 4 litre of water for 5 days
asking about the eus disease,suggested to apply cifax and also suggested to appy 3-5gm oxytetracyclene /kg feed for 12 - 14 days.
asking abut the insects pest problem in rubber,application of cypermethrin 20 ec @ 2 ml per litre of water
asking about the control measure of fungal wilt in brinjal,advised to apply indofil m-45/dithane m-45/uthane m-45 @ 2.5 gram / litre of water
asking for borax application,suggested him to apply 2 kg per bigha
asking about brinjal shoot borer problem,suggested to spray rocket @ 2ml/litre of water.
asking fungal wilt in rajmah,suggested him to apply saaf @ 2 ml/litre of water
asking about pest controle of brinjal,suggested him to apply malathion 50ec@2ml/l water
asking about the control measure of fungal wilt in chilli,advised to apply indofil m-45 @ 2.5 gram / litre of water.
asking about some hybrid variety of bitter gourd,"advised to grow variety like-ventura,mbth 102,durgesh research,jaunpuri,local variety."
asking about fungal wilt problem in tomato,suggested to soil drenching with bavistin @ 1gm/litre of water for tomato.spray malathion 50ec @ 2ml/litre of water for beans.
asking for fruit borer problem,suggested him to spray malathion 50 ec @ 2 ml + gur @ 1 gm per litre of water
asking about loan for fisheries,suggested him to contact nearest nationalised bank and dist. fisheries office for further procedure.
asking fruit borer,suggested him to spray malathion 50 ec @ 2 ml/litre of water
asking about bactrial disase in tomato,appication of streptomycin @ 2ml per litre of water
asking for bacterial wilt,suggested him to apply plantomycin @ 1 gm/litre of water
tomato bacterial disease,application of streptocyclin @ 2 ml per litre of water
control measure of fruit borer pest attack in brinjal,advised to spray tricel 20 ec @ 2 ml / litre of water.
asking about the diaease management in bengal gram,spray bavistin at the rate 5g in one litre one water.
asking about some variety of knolkhol,"suggested about the variety like-white vienna,purple vienna etc."
asking about the disease of brinjal,advise him to spray agromycin @ 3ml/litre of water.
asking about the cultivation practices of coconut,"application of compostb 15 kg, urea 1500 grams , ssp 2500 grams mop 170 grams and borax 100 grams @ 2 ml per litre of water"
asking about the bacterial disease problem in potato,application of streptocyclin 2 2ml per litre of water
asking about the insects pest problem in broccoli,application of immidachloropid @ 2 ml per litre of water
control measure of late blight,spray indofil m 45 @ 2.5gm/lit water every after 10 days
asking about some variety of peas,"suggested about the variety like-t-163,arkel,boneville,h-u-p-2"
asking that in which field farmers can avail information from kisan call centre,"advised that farmers can avail information in the field of agriculture,veterinary and fishery."
asking about the age of castration period of a  dog,suggested to the age of castration period of a  dog is 2-3 month of age.
asking about the cultivation practices of bottle gourd and disase problem,application diethene m-45 @ 2ml per litre of water
asking about the control of flower drop  in tomato,"advised to apply green harvest crop booster @ 1.25 gram / litre of water,tracel 1 @ 2.5 gram/litre of water or dk-4 @ 4 ml / litre of water."
asking about the control of flower drop problem in tomato,advised to apply dk-4 @ 4 ml / 20 litre of water.
asking about treatment of weakness in goat,suggested to inject tribivet injection @ 3 ml i/mly at every alternate day.
control measure of late blight disease in potato,advised to apply indofil m-45 @ 2.5 gram /litre of water
asking for pest problem,suggested him to spray malathion 50 ec @ 2 ml per litr of water
askind about the disease of chilli,spray indofil m-45 @ 2ml/litres of water
cauliflower problem,apply aminos vitamin
asking about thefertilizer management in bottle gourd,application of urea 100 grams and borax 50 grams with 3 kg of compost around the base of the plant
asling for a laon,suggested him go to nearest nationalist bank
disconnected,disconnected
asking about the cultivation practices of fish,c
asking about the pest attack in brinjal crop,suggested him to apply rogor
asking var,suggested him sunbred 212 and sunbred 275
asking about the control measure of late blight disease in tomato,advsied to apply indofil m-45 @ 2.5 gram / litre of water.
boron deficiency,apply borax
asking about varieties of cucumber,"advised him to select variety like chinese green,aauc-1,2,3 and sedona."
asking about the agriculture problem,forwarded to the agriculture expert.
control measure of wasp attack in bottle gourd,advised to spray malathion 50 ec @ 2 ml / litre of water mixed with jaggery
asking about the control for termite,suggested to spray dursban tc (42.8 % chlorpyrifos).
insect pest,apply malathion @2ml/litre of water
asking about the coconut disease problem,application of bavistin 2 ml per litre of water
asking about the control measure of aphids in pea,suggested to spray rogor @ 2ml/lt of water.
asking about the coconut plant fertilizer dose,"given as urea 750gm, potash 850gm, borax 20gm ."
asking about the control measure of fungal wilt in  brinjal,suggested to soil drenching with captaf @ 3 gram/liter of water.
asking about the disease problem in bottle gourd,application of captaf @ 2ml per litre of water
control measure of fruit rot in okra,advised to apply blitox-50 @ 2.5 gram / litre of water.
asking about wilt problem of capsicum,suggested to soil drenching with bavistin @ 1gm/litre of water
asking about the control measure of rat,advised to apply mortin rat killer
asking for plant management,apply miracle vitamin @ 2ml/litre of water
asking about the cultivation practices of and pest problem,application of chloropyriphos @ 2 ml per litre of water
asking about the fish vitamin used in fish culture,apply agrimin forte @ 2gm/kg of fish feed.
asking for flower dropping,suggested him to spray aminose 1 teaspoon per 2 litre of water
ulcer,advised him to apply cifax 1 ltr/hectr
asking about the fertilizer dose of taropan,"suggested fert.dose of taro(pan) are urea 80-100 kg,p-50-60 and k-100/ pari."
a cow showing the sign of debility poor milk production no appetide,1.inj.belamyl 6ml/im daily for 5 days on every alternate day 2. minamil 40-50 gm daily in feed 3. ostocalcium + vimeral..40 ml daily in water
asking about the management of flower drop in bottle gourd,i told him to spray multiplex all crop at rate 2g in one litre of water.
asking about some mironutrient product for marigold,advised to apply multiplex garden mixture @ 10 gram / plant at a radius of 5-6 inches from the base of the plant.
problem of blight in tomato,suggested him to apply indofil-m-45 @ 2 gm/liter of water.
control of fungal wilt in chilli,advised to apply blitox-50 @ 2.5 gram / litre of water
control measure of fruit drop,apply borax @ 25 gm + 5 kg dried cowdung / plant
asking about the control measure of blast,suggest to spray saaf 2gm/lit of water
asking about stem borer problem in rice,suggested to spray dursban @ 2ml/litre of water
vety q,not available ( due to end of duty hours of vety docs' )
control of leaf miner pest,spray rogor 35 ec @ 2 ml / litre of water
asking  where to avail mushroom spawn,"advised to contact with assam agricultural university(plant pathology dept),regional research laboratory,jorhat/sird,khanapara,shanti sadhana ashram,guwahati"
asking about the pest problem in chilli,apply malathion 50 ec @ 2ml/litre of water.
pest infestation,apply malathion 5% dust
asking about the financial assistance for duck farming,suggested to contact with nearest veterinarian and bank for loans & finances.
leaf miner pest control,advised to spray malathion 50 ec @ 2 ml / litre of water
asking about variety of juteolitorius,"advised to grow variety like-selection-2,jro-524,jro-632,tarun etc"
asking about the insects pest problem in rigde gourd,application of rocket @ 1.5 ml per litre of water
asking about the fertilizer dose in snake gourd,application of miraculan @ 2.5 ml per litre of water
asking about treatment of lameness in chicks,suggested to administer ambiplex twice daily for five days.
asking about bitter gourd insects,application of triazophos @ 2 ml per litre of water
asked about a chicken having infection on eye,"advised, 1.wash with boric acid mix in boil water ....2/3 times daily 2.gentamycin eye drop...1 drop daily"
asking about few duck having eye infection,1.wash with boric acid mix with boil water 2.gentamycin drops...1 drops twice daily
asking about white diarrhoea  perosis,"advised,1.duaprim 2gm/lt water..for 3-5 days.2.minamil/agrimin....mix in feed 3.inj.cavit....0.01 ml per day for 5 days."
asking about how to get a power tiller at subsidy rate,advised him to visit district agril. office
asking about the plant protection,apply decis@2ml/litres of water
asking about dose of mineral mixture agrimin in poultry feeds,advised to mix as per company recomendation
problem of fruit borer in bitter gourd,advised him to apply malathiom 50 ec @ 2 ml / liter of water.
problem of aphids in cow pea,advised him to apply rogor 35 ec @ 2 ml / liter of water.
asking about the control measure fruit rot in ridge gourd,suggested to spray carbendazim @ 2gm/lt of water.
asking about the treatment of bacilary white diarrhoea of broiller,suggested to contact the nearest vety. doctor  for observe the broiller.
asking about the control of fruit drop in ridge gourd,advised to apply multiplex all crops@ 2 gram / litre of water
asking about fruit fly in ridge gourd,suggested to spray malathion 50ec @ 2ml + 1gm of molases/litre of water
asking fert dose and application,"suggested him to apply compost 10 kg, urea 125 gm, ssp 125 gm, mop 150 gm and 25 gm borax by ring method"
asking about aphid problem in ridge gourd,suggested to spray profex super @ 2ml/litre of water
asking about the treatment of fever in goat,suggested to administer tetracycline bolus @ 1/2 bolus twice daily for five days
asking about the disease of ridge gourd,apply blitox @ 2ml /litres of water
asking about treatment of fever in goat,suggested to administer tetracycline bolus @ 1/2 bolus twice daily for five days.along with that administer melonex plus bolus @ 1/2 bolus twice daily.
asking about the growth regulator,apply tracel @ 2ml /litres of water
informing that his kroiler birds are started laying eggs at 5 month of age,advised to give calcium in water as supplement
asking about the insects pest problem in bhindi,application of atonm @ 2ml per litre of water
asking about the litchi fertilizer dose,"application of urea 75 grams , ssp 100 grams,mop 50 grams , compost 10 kg twice per year"
asking about the control measure of powderymildew,spray blitox 2gm/lit of water
asking about the benefit from govt sector,.suggested to contact with villege level extention worker for the ongoing govt. schemes
asking about the source of information of pure duck breed,"suggested to contact the farm manager, sird, nearest of your district."
problem of fruit borer in ridge gourd,advised him to apply malathion 50 ec @ 2 ml / liter of water.
control of fruit rot in ridge gourd,advised to apply carbendazim(bavistin)/blitox-50 @ 2.5 gram / litre of water
asking about the flower dropping problem,suggested to spray aminos @ 2ml/lit of water
control of fruit splitting in litchi,advised to apply borax @ 100 gram / plant along with recommended fertilizer dose
asking about the control of fruit fly in cow pea,advised to spray trifos 40 ec @ 1.5 ml / litre of water
giving feedback as its kroiler starts laying eggs,keep it up
asking about treatment of diarrhoea in piglet,suggested to administer neblon powder @10 gm twice daily.
mosaik problem,advised to spray rogor 35ec @ 2ml mixed in one litre of water
asked about the amount of fertilizer to be used in one coconut plant,advised to apply 1.5 kg urea 2.5kg ssp 1.75kg of potash and 25 gm ofborax powder
asking about the control measure of aphid,suggested to sdpray rogor @ 2gm/lit of watwer
growth problem in litchi,advised to apply 20 kg of fym per plant
defficiency and pest of cucmber,"spray liquid zn @ 2ml/lit,followed by chloropyriphos @ 2ml/ lit of water"
asking about some micronutrient product name for ridge gourd,advised to apply multiplex/tracel @ 2 gram / litre of water
control measure of leaf roller pest attck in jute cultivation,advised to spray flash9quianlphos 25 % ec) @ 2 ml / litre of water
asking about pest control,malathion50ec spray korok
fruit drop in okra,captaf @ 2ml/lit followed by tracel2 @ 2ml/lit
leaf curling of chilli,spray rogor @ 1.5 ml per litre of water
immature fruit drop in jack fruit,apply borax 30 gm per plant
insect problem,advised to spray malathion 50 ec @2 ml/liter of water
